"","Pattern","Gene"
"363",6,"sp5l"
"364",6,"LOC118453864"
"365",6,"vash1"
"366",6,"hif1aa"
"367",6,"klf11b"
"368",6,"itgb1bp1"
"369",6,"st18"
"370",6,"LOC102790353"
"371",6,"si:ch211-13f8.1"
"372",6,"dmbx1a"
"373",6,"mtf2"
"374",6,"tnk2b"
"375",6,"LOC102781628"
"376",6,"kitb"
"377",6,"npy"
"378",6,"LOC102789871"
"379",6,"pex1"
"380",6,"hey1"
"381",6,"laptm4b"
"382",6,"cgnb"
"383",6,"eomesa"
"384",6,"LOC102780105"
"385",6,"znf385b"
"386",6,"LOC102791508"
"387",6,"LOC102797925"
"388",6,"mid1"
"389",6,"LOC102788802"
"390",6,"sp5a"
"391",6,"LOC102782818"
"392",6,"dip2a"
"393",6,"LOC102791592"
"394",6,"LOC102798225"
"395",6,"plgrkt"
"396",6,"ggt5b"
"397",6,"coq4"
"398",6,"foxb1a"
"399",6,"furinb"
"400",6,"frmd3"
"401",6,"prf1.5"
"402",6,"plk2b"
"403",6,"cdo1"
"404",6,"LOC102778502"
"405",6,"gldc"
"406",6,"pfas"
"407",6,"LOC102783684"
"408",6,"mysm1"
"409",6,"palld"
"410",6,"nfia"
"411",6,"rorca"
"412",6,"rxfp3.2b"
"413",6,"rab6ba"
"414",6,"sox14"
"415",6,"LOC102782131"
"416",6,"LOC102785781"
"417",6,"rnf38"
"418",6,"LOC102792371"
"419",6,"LOC102796161"
"420",6,"LOC102797053"
"421",6,"gprc5bb"
"422",6,"usp54b"
"423",6,"LOC102790377"
"424",6,"kcnh4b"
"425",6,"abca3b"
"426",6,"LOC102790273"
"427",6,"fam20ca"
"428",6,"cunh17orf75"
"429",6,"sh3bp5b"
"430",6,"LOC102777465"
"431",6,"fuz"
"432",6,"sppl2"
"433",6,"mycn"
"434",6,"laptm4a"
"435",6,"susd6"
"436",6,"LOC102799321"
"437",6,"LOC102784640"
"438",6,"LOC102785397"
"439",6,"LOC102785980"
"440",6,"LOC102787460"
"441",6,"LOC102781662"
"442",6,"ccdc85cb"
"443",6,"LOC102787074"
"444",6,"LOC102794523"
"445",6,"stxbp4"
"446",6,"tmem251"
"447",6,"bub1"
