"","Pattern","Gene"
"489",8,"LOC102799757"
"490",8,"dnajb5"
"491",8,"gdf11"
"492",8,"LOC102798107"
"493",8,"prdm16"
"494",8,"cntn3a.1"
"495",8,"LOC102780851"
"496",8,"LOC102784322"
"497",8,"ltk"
"498",8,"itm2cb"
"499",8,"LOC102797816"
"500",8,"LOC102787545"
"501",8,"cygb2"
"502",8,"npy"
"503",8,"LOC102793047"
"504",8,"neurod1"
"505",8,"LOC102792657"
"506",8,"nr4a2a"
"507",8,"rprma"
"508",8,"ggt5b"
"509",8,"fsta"
"510",8,"dab1a"
"511",8,"pcsk9"
"512",8,"LOC102792371"
"513",8,"gcgrb"
"514",8,"LOC102795367"
"515",8,"fam20ca"
"516",8,"etv1"
"517",8,"LOC102788627"
"518",8,"tmem200a"
"519",8,"LOC102777742"
"520",8,"tfap2e"
"521",8,"tfap2a"
"522",8,"trhra"
"523",8,"LOC102792686"
"524",8,"adcyap1a"
"525",8,"vipr1b"
"526",8,"barhl1b"
"527",8,"bicd1a"
"528",8,"dennd11"
"529",8,"wu:fj29h11"
"530",8,"LOC102784457"
"531",8,"hs3st2"
"532",8,"qkia"
"533",8,"nkx2.1"
"534",8,"pitx2"
"535",8,"fosl2"
"536",8,"LOC102790593"
"537",8,"LOC102798361"
"538",8,"mecom"
"539",8,"LOC102775752"
"540",8,"foxa2"
"541",8,"slc35f3b"
"542",8,"kcnk1b"
"543",8,"nr4a3"
"544",8,"erich3"
"545",8,"flna"
"546",8,"cnn1b"
"547",8,"LOC102790514"
"548",8,"LOC102799375"
"549",8,"htr7c"
"550",8,"rorb"
"551",8,"gata2b"
"552",8,"flrt3"
"553",8,"LOC102792144"
"554",8,"efnb3b"
"555",8,"npbwr2b"
"556",8,"LOC102777994"
"557",8,"LOC102776257"
"558",8,"LOC102793238"
"559",8,"LOC102799286"
"560",8,"nog2"
"561",8,"cblc"
"562",8,"LOC102784053"
"563",8,"LOC102797333"
